game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
20800741,2009-02-06,SAC vs. UTA,1610612762,f,W,29.0,22.0,0.569,240,39.0,74.0,0.527,4.0,13.0,0.308,29.0,37.0,1.0,8.0,36.0,44,19.0,5.0,4.0,18.0,26.0,111,1610612758,2008,Regular Season,2008-09
20800701,2009-01-31,POR vs. UTA,1610612762,f,L,26.0,22.0,0.542,240,37.0,68.0,0.544,5.0,20.0,0.25,29.0,37.0,1.0,7.0,20.0,27,17.0,6.0,0.0,15.0,22.0,108,1610612757,2008,Regular Season,2008-09
20800584,2009-01-16,MEM vs. UTA,1610612762,f,W,24.0,16.0,0.6,240,37.0,71.0,0.521,7.0,19.0,0.368,20.0,27.0,1.0,7.0,26.0,33,23.0,9.0,3.0,15.0,22.0,101,1610612763,2008,Regular Season,2008-09
20800558,2009-01-12,IND @ UTA,1610612762,t,W,23.0,15.0,0.605,240,39.0,85.0,0.459,8.0,18.0,0.444,34.0,37.0,1.0,9.0,31.0,40,24.0,10.0,6.0,8.0,20.0,120,1610612754,2008,Regular Season,2008-09
20800440,2008-12-27,HOU vs. UTA,1610612762,f,L,18.0,14.0,0.563,290,49.0,100.0,0.49,5.0,13.0,0.385,12.0,18.0,1.0,11.0,29.0,40,35.0,13.0,7.0,9.0,27.0,115,1610612745,2008,Regular Season,2008-09
20800395,2008-12-20,CHI vs. UTA,1610612762,f,L,17.0,12.0,0.586,240,38.0,79.0,0.481,2.0,11.0,0.182,20.0,22.0,1.0,12.0,21.0,33,21.0,9.0,5.0,20.0,19.0,98,1610612741,2008,Regular Season,2008-09
20800344,2008-12-13,ORL @ UTA,1610612762,t,L,15.0,10.0,0.6,240,33.0,77.0,0.429,8.0,18.0,0.444,20.0,29.0,1.0,17.0,29.0,46,25.0,11.0,4.0,22.0,23.0,94,1610612753,2008,Regular Season,2008-09
20801116,2009-04-01,WAS @ MEM,1610612763,t,W,20.0,54.0,0.27,240,38.0,79.0,0.481,8.0,18.0,0.444,28.0,34.0,1.0,12.0,25.0,37,21.0,10.0,6.0,12.0,22.0,112,1610612764,2008,Regular Season,2008-09
20801103,2009-03-30,GSW vs. MEM,1610612763,f,W,19.0,54.0,0.26,240,40.0,79.0,0.506,5.0,18.0,0.278,29.0,40.0,1.0,12.0,34.0,46,22.0,11.0,8.0,19.0,20.0,114,1610612744,2008,Regular Season,2008-09
20801090,2009-03-28,POR vs. MEM,1610612763,f,L,18.0,54.0,0.25,240,28.0,68.0,0.412,0.0,8.0,0.0,10.0,15.0,1.0,8.0,20.0,28,12.0,6.0,4.0,13.0,19.0,66,1610612757,2008,Regular Season,2008-09
20800796,2009-02-17,UTA vs. MEM,1610612763,f,L,15.0,38.0,0.283,240,35.0,75.0,0.467,3.0,12.0,0.25,26.0,32.0,1.0,17.0,24.0,41,15.0,4.0,5.0,18.0,25.0,99,1610612762,2008,Regular Season,2008-09
20800762,2009-02-09,NOH @ MEM,1610612763,t,W,15.0,36.0,0.294,240,28.0,77.0,0.364,3.0,15.0,0.2,26.0,35.0,1.0,20.0,44.0,64,18.0,3.0,9.0,18.0,21.0,85,1610612740,2008,Regular Season,2008-09
20800642,2009-01-24,NJN @ MEM,1610612763,t,L,11.0,32.0,0.256,240,30.0,70.0,0.429,6.0,14.0,0.429,22.0,30.0,1.0,9.0,32.0,41,17.0,5.0,3.0,11.0,20.0,88,1610612751,2008,Regular Season,2008-09
20800634,2009-01-23,NYK vs. MEM,1610612763,f,L,11.0,31.0,0.262,240,30.0,77.0,0.39,7.0,16.0,0.438,21.0,29.0,1.0,15.0,25.0,40,13.0,7.0,1.0,17.0,25.0,88,1610612752,2008,Regular Season,2008-09
20800609,2009-01-19,DET @ MEM,1610612763,t,L,11.0,29.0,0.275,240,32.0,78.0,0.41,2.0,8.0,0.25,13.0,17.0,1.0,14.0,32.0,46,14.0,5.0,4.0,13.0,20.0,79,1610612765,2008,Regular Season,2008-09
20800584,2009-01-16,UTA @ MEM,1610612763,t,L,11.0,28.0,0.282,240,32.0,75.0,0.427,3.0,12.0,0.25,24.0,29.0,1.0,13.0,22.0,35,15.0,8.0,6.0,16.0,24.0,91,1610612762,2008,Regular Season,2008-09
20800498,2009-01-04,DAL @ MEM,1610612763,t,W,11.0,23.0,0.324,240,39.0,82.0,0.476,7.0,15.0,0.467,17.0,18.0,1.0,12.0,31.0,43,18.0,7.0,4.0,8.0,20.0,102,1610612742,2008,Regular Season,2008-09
