person_id,display_first_last,from_year,to_year,draft_year,height_feet,height_inches,weight,team_id,jersey,school,country
2,Byron Scott,1983,1996,1983,6,4,205,1610612747,,Arizona State,USA
7,Dan Schayes,1981,1998,1981,6,11,260,1610612743,24,Syracuse,USA
9,Sedale Threatt,1983,1996,1983,6,2,185,1610612747,2,West Virginia Tech,USA
12,Chris King,1993,1998,1992,6,8,215,0,,Wake Forest,USA
15,Eric Piatkowski,1994,2007,1994,6,7,215,1610612746,52,Nebraska,USA
17,Clyde Drexler,1983,1997,1983,6,7,222,1610612757,22,Houston,USA
21,Greg Anthony,1991,2001,1991,6,1,180,1610612752,50,UNLV,USA
22,Rik Smits,1988,1999,1988,7,4,265,1610612754,45,Marist,USA
23,Dennis Rodman,1986,1999,1986,6,7,210,1610612765,10,Southeastern Oklahoma State,USA
24,Keith Jennings,1992,1994,,5,7,160,1610612744,2,East Tennessee State,USA
26,Luc Longley,1991,2000,1991,,,,0,,New Mexico,USA
28,Doug West,1989,2000,1989,,,,0,,Villanova,USA
29,Jim McIlvaine,1994,2000,1994,,,,0,,Marquette,USA
31,Lorenzo Williams,1992,1999,,6,9,200,0,,Stetson,USA
32,Clifford Rozier,1994,1997,1994,6,11,245,0,,Louisville,USA
35,Eric Riley,1993,1998,1993,7,0,245,1610612745,44,Michigan,USA
36,Sarunas Marciulionis,1989,1996,1987,6,5,200,1610612739,78,Statyba,Lithuania
37,Greg Graham,1993,1997,1993,6,4,174,0,,Indiana,USA
38,Brad Lohaus,1987,1997,1987,6,11,230,1610612749,54,Iowa,USA
41,Anthony Bonner,1990,2002,1990,6,8,230,1610612758,33,St. Louis,USA
42,Monty Williams,1994,2002,1994,6,8,225,1610612753,5,Notre Dame,USA
43,Chris Whitney,1993,2003,1993,6,0,175,1610612764,12,Clemson,USA
45,George McCloud,1989,2002,1989,6,8,230,1610612754,21,Florida State,USA
46,Mike Peplowski,1993,1995,1993,6,10,270,1610612758,54,Michigan State,USA
47,Wayman Tisdale,1985,1996,1985,6,9,260,1610612758,23,Oklahoma,USA
49,Gheorghe Muresan,1993,1999,1993,7,7,303,1610612764,77,Pau Orthez,Romania
52,Micheal Williams,1988,1998,1988,6,2,175,0,,Baylor,USA
53,Mario Elie,1990,2000,1985,6,5,225,1610612745,17,American International,USA
54,Dickey Simpkins,1994,2001,1994,,,,0,,Providence,USA
55,Marty Conlon,1991,1999,,6,10,224,0,,Providence,USA
56,Gary Payton,1990,2006,1990,6,4,190,1610612760,20,Oregon State,USA
57,Doug Christie,1992,2006,1992,6,6,205,0,,Pepperdine,USA
61,Carl Herrera,1991,2008,1990,,,,0,,Houston,USA
63,Michael Smith,1994,2000,1994,6,8,240,1610612758,34,Providence,USA
65,Greg Minor,1994,1998,1994,6,6,210,0,,Louisville,USA
66,Marques Bragg,1995,1995,,6,8,230,1610612750,33,Providence,USA
67,Tom Hammonds,1989,2000,1989,,,,0,,Georgia Tech,USA
71,Pooh Richardson,1989,1998,1989,6,1,180,0,,UCLA,USA
72,Kenny Anderson,1991,2004,1991,6,1,168,0,,Georgia Tech,USA
73,Hot Rod Williams,1986,1998,1985,6,11,245,1610612739,18,Tulane,USA
74,Derrick Phelps,1994,1994,,6,4,181,1610612758,5,North Carolina,USA
77,Doug Overton,1992,2003,1991,6,3,190,1610612764,24,La Salle,USA
80,Ken Norman,1987,1996,1987,6,8,215,0,,Illinois,USA
81,Jeff Grayer,1988,1997,1988,6,5,210,1610612749,20,Iowa State,USA
82,Bill Wennington,1985,1999,1985,7,0,245,0,,St. John's (NY),USA
84,Latrell Sprewell,1992,2004,1992,6,5,195,1610612744,8,Alabama,USA
87,Dikembe Mutombo,1991,2008,1991,7,2,260,1610612743,55,Georgetown,Congo
88,Steve Scheffler,1990,1996,1990,6,9,250,0,,Purdue,USA
89,Nick Van Exel,1993,2005,1993,6,1,190,1610612747,31,Cincinnati,USA
93,Hubert Davis,1992,2003,1992,6,5,183,1610612752,44,North Carolina,USA
95,Mark Bryant,1988,2002,1988,6,9,250,1610612757,9,Seton Hall,USA
96,Detlef Schrempf,1985,2000,1985,6,10,235,1610612760,12,Washington,USA
97,Ronnie Grandison,1988,1995,1987,6,6,220,1610612738,20,New Orleans,USA
98,Nick Anderson,1989,2002,1989,6,6,228,1610612753,5,Illinois,USA
100,Tim Legler,1989,1999,,6,4,200,0,,La Salle,USA
101,Scott Skiles,1986,1995,1986,6,1,180,1610612753,5,Michigan State,USA
103,Todd Day,1992,2000,1992,,,,0,,Arkansas,USA
104,Benoit Benjamin,1985,1999,1985,7,0,250,0,,Creighton,USA
105,Dan Majerle,1988,2001,1988,6,6,222,1610612756,9,Central Michigan,USA
107,Dale Ellis,1983,1999,1983,6,7,205,0,,Tennessee,USA
109,Robert Horry,1992,2007,1992,6,10,240,1610612747,25,Alabama,USA
111,LaPhonso Ellis,1992,2002,1992,6,8,240,1610612743,3,Notre Dame,USA
112,Dontonio Wingfield,1994,1997,1994,6,8,256,0,,Cincinnati,USA
114,Harold Miner,1992,1995,1992,6,5,210,1610612748,4,Southern California,USA
116,David Wood,1988,1996,,6,9,230,1610612744,7,Nevada-Reno,USA
117,Jeff Malone,1983,1995,1983,6,4,205,0,,Mississippi State,USA
120,Steven Smith,1991,2004,1991,6,8,221,1610612737,8,Michigan State,USA
122,Fred Roberts,1983,1996,1982,6,10,218,0,,Brigham Young,USA
123,Robert Pack,1991,2003,,6,2,190,0,,Southern California,USA
124,Vlade Divac,1989,2004,1989,7,1,260,1610612747,21,Partizan,Serbia
128,David Benoit,1991,2000,,6,8,220,1610612762,21,Alabama,USA
129,Dino Radja,1993,1996,1989,6,11,225,0,,Virtus Roma,Croatia
132,Dwayne Morton,1994,1994,1994,6,7,195,1610612744,50,Louisville,USA
133,David Wesley,1993,2006,,6,1,203,1610612766,4,Baylor,USA
134,Kevin Johnson,1987,1999,1987,6,1,190,1610612756,7,California,USA
136,P.J. Brown,1993,2007,1992,6,11,239,1610612740,93,Louisiana Tech,USA
137,Vernon Maxwell,1988,2000,1988,6,4,190,1610612745,3,Florida,USA
138,Anthony Avent,1992,1999,1991,6,9,240,1610612749,30,Seton Hall,USA
140,Donald Royal,1989,1997,1987,6,8,218,1610612753,5,Notre Dame,USA
143,Terry Dehere,1993,1998,1993,6,4,190,1610612746,24,Seton Hall,USA
145,Tracy Murray,1992,2003,1992,6,7,230,0,,UCLA,USA
146,Jud Buechler,1990,2001,1990,6,6,228,1610612741,30,Arizona,USA
147,Jalen Rose,1994,2006,1994,6,8,215,1610612754,8,Michigan,USA
149,Michael Adams,1985,1995,1985,5,10,165,1610612743,23,Boston College,USA
156,Antoine Carr,1984,1999,1983,6,9,225,0,,Wichita State,USA
157,Derek Harper,1983,1998,1983,6,4,206,1610612742,12,Illinois,USA
160,Tim Breaux,1994,1997,,6,7,215,0,,Wyoming,USA
164,Chris Childs,1994,2002,,6,3,195,1610612752,,Boise State,USA
165,Hakeem Olajuwon,1984,2002,1984,7,0,255,1610612745,34,Houston,Nigeria
166,Ron Harper,1986,2000,1986,6,6,215,1610612741,4,Miami (Ohio),USA
168,Chris Mills,1993,2002,1993,6,7,220,1610612739,34,Arizona,USA
170,Joe Kleine,1985,1999,1985,6,11,255,0,,Arkansas,USA
175,Alton Lister,1981,1997,1981,7,0,245,1610612749,53,Arizona State,USA
176,Antonio Harvey,1993,2002,,6,11,250,1610612747,4,Pfeiffer,USA
177,Muggsy Bogues,1987,2000,1987,,,,0,,Wake Forest,USA
179,Bryant Stith,1992,2002,1992,6,5,210,1610612743,23,Virginia,USA
180,John Crotty,1992,2002,,,,,0,,Virginia,USA
181,Kenny Smith,1987,1996,1987,6,3,170,1610612745,30,North Carolina,USA
182,Billy Owens,1991,2002,1991,6,9,225,1610612744,2,Syracuse,USA
183,Bison Dele,1991,1998,1991,6,11,260,1610612743,8,Arizona,USA
185,Chris Webber,1993,2007,1993,6,10,245,0,4,Michigan,USA
187,Terry Cummings,1982,1999,1982,6,9,220,0,,DePaul,USA
189,B.J. Tyler,1994,1994,1994,6,1,185,1610612755,1,Texas-Austin,USA
190,Duane Causwell,1990,2002,1990,7,0,255,1610612758,,Temple,USA
192,Dennis Scott,1990,1999,1990,6,8,229,1610612753,9,Georgia Tech,USA
193,Anthony Mason,1989,2002,1988,6,8,255,1610612752,17,Tennessee State,USA
197,Scott Burrell,1993,2000,1993,6,7,218,1610612766,2,Connecticut,USA
198,Danny Ferry,1990,2002,1989,6,10,235,1610612739,35,Duke,USA
199,Reggie Williams,1987,1996,1987,,,,0,,Georgetown,USA
203,Nate McMillan,1986,1997,1986,6,5,210,1610612760,10,North Carolina State,USA
209,Dell Curry,1986,2001,1986,6,5,205,1610612766,30,Virginia Tech,USA
210,Terrell Brandon,1991,2002,1991,5,11,173,1610612739,7,Oregon,USA
211,Eric Mobley,1994,1996,1994,6,11,235,0,,Pittsburgh,USA
212,Yinka Dare,1994,1997,1994,7,0,265,0,,George Washington,USA
213,Antonio Davis,1993,2005,1990,6,9,245,0,,Texas-El Paso,USA
216,Brian Shaw,1988,2002,1988,6,6,200,1610612747,20,California-Santa Barbara,USA
221,Clar. Weatherspoon,1992,2004,1992,6,7,270,1610612755,30,Southern Mississippi,USA
223,Bill Curley,1994,2000,1994,,,,0,,Boston College,USA
224,Eddie Jones,1994,2007,1994,6,6,200,1610612748,6,Temple,USA
226,Antonio Lang,1994,1999,1994,6,8,205,0,,Duke,USA
228,Adam Keefe,1992,2000,1992,6,9,230,1610612762,32,Stanford,USA
234,Khalid Reeves,1994,1999,1994,6,3,199,0,,Arizona,USA
236,Kevin Edwards,1988,2000,1988,6,3,210,1610612748,21,DePaul,USA
238,Tyrone Hill,1990,2003,1990,6,9,250,0,,Xavier,USA
